,Unnamed: 0,Date,EXCHCD,TICKER,COMNAM,BIDLO,ASKHI,PRC,VOL,RET,SHROUT,OPENPRC,vwretx,mid_price,buyer_seller_init,effective_cost,quoted,prop_quoted,effective,prop_effective
72,1031642,2019-04-16,3.0,INTC,INTEL CORP,56.07,57.47,56.71,30266578.0,0.007640000000000001,4477000.0,56.66,0.000696,56.769999999999996,0,0.0010568962480182345,1.3999999999999986,0.024660912453760765,0.11999999999999034,0.0021160289190617233
73,1031643,2019-04-17,3.0,INTC,INTEL CORP,58.12,59.59,58.56,38747599.0,0.032622000000000005,4477000.0,58.44,-0.0031260000000000003,58.855000000000004,0,0.005012318409650865,1.470000000000006,0.024976637498938168,0.5900000000000034,0.010075136612021916
74,1031644,2019-04-18,3.0,INTC,INTEL CORP,58.1238,58.88,58.49,20450193.0,-0.0011949999999999999,4477000.0,58.71,0.0010429999999999999,58.501900000000006,0,0.0002034121968688921,0.7561999999999998,0.012926075905227005,0.02380000000000848,0.0004069071636178574
75,1031645,2019-04-22,3.0,INTC,INTEL CORP,57.88,58.83,58.82,12304298.0,0.005642,4477000.0,58.15,0.000526,58.355000000000004,1,0.007968468854425436,0.9499999999999957,0.01627966755205202,0.9299999999999926,0.015810948656919288
76,1031646,2019-04-23,3.0,INTC,INTEL CORP,58.5,58.98,58.78,17713976.0,-0.0006799999999999999,4477000.0,58.89,0.00883,58.739999999999995,1,0.0006809669731019111,0.4799999999999969,0.008171603677221603,0.0800000000000125,0.0013610071452877254
77,1031647,2019-04-24,3.0,INTC,INTEL CORP,58.14,59.2899,58.72,17701162.0,-0.001021,4477000.0,58.52,-0.002096,58.71495,1,8.60087592682462e-05,1.1499000000000024,0.019584449956953083,0.010099999999994225,0.00017200272479554198
78,1031648,2019-04-25,3.0,INTC,INTEL CORP,57.23,58.38,57.61,27903643.0,-0.018903,4477000.0,58.3,-0.001475,57.805,0,0.0033734106046189823,1.1500000000000057,0.019894472796470993,0.39000000000000057,0.006769658045478226
79,1031649,2019-04-26,3.0,INTC,INTEL CORP,51.52,53.09,52.43,72324044.0,-0.089915,4477000.0,52.74,0.005325,52.30500000000001,1,0.002389828888251465,1.5700000000000003,0.030016250836440113,0.2499999999999858,0.004768262445164711
80,1031650,2019-04-29,3.0,INTC,INTEL CORP,51.0,52.43,51.11,42127300.0,-0.025176,4477000.0,52.17,0.001373,51.715,0,0.011698733442908324,1.4299999999999997,0.027651551774146757,1.210000000000008,0.023674427704950263
81,1031651,2019-04-30,3.0,INTC,INTEL CORP,50.87,51.43,51.04,27123092.0,-0.00137,4477000.0,51.0,0.000314,51.15,0,0.0021505376344085913,0.5600000000000023,0.010948191593352929,0.21999999999999886,0.004310344827586184
82,1031652,2019-05-01,3.0,INTC,INTEL CORP,50.74,51.6,50.76,20449918.0,-0.0054859999999999996,4477000.0,51.1,-0.0075959999999999995,51.17,0,0.008012507328512872,0.8599999999999994,0.01680672268907562,0.8200000000000074,0.016154452324665235
83,1031653,2019-05-02,3.0,INTC,INTEL CORP,50.12,51.325,50.55,22634207.0,-0.004137,4477000.0,50.8,-0.001748,50.7225,0,0.003400857607570594,1.2050000000000054,0.023756715461580275,0.34499999999999886,0.006824925816023716
84,1031654,2019-05-03,3.0,INTC,INTEL CORP,50.73,51.82,51.75,25548868.0,0.023739,4477000.0,51.08,0.010805,51.275,1,0.00926377376889325,1.0900000000000034,0.021257922964407674,0.9500000000000028,0.01835748792270537
85,1031655,2019-05-06,3.0,INTC,INTEL CORP,50.19,51.28,51.22,26222926.0,-0.004155,4477000.0,50.25,-0.003971,50.735,1,0.009559475707105537,1.0900000000000034,0.021484182517000166,0.9699999999999989,0.01893791487700115
86,1031656,2019-05-07,3.0,INTC,INTEL CORP,49.93,50.88,50.48,29702405.0,-0.014447999999999999,4477000.0,50.6,-0.016155000000000003,50.405,1,0.001487947624243542,0.9500000000000028,0.01884733657375266,0.14999999999999147,0.0029714738510299423
87,1031657,2019-05-08,3.0,INTC,INTEL CORP,49.07,50.79,49.24,36912429.0,-0.024564,4477000.0,50.2,-0.0016530000000000002,49.93,0,0.013819347085920242,1.7199999999999989,0.034448227518525915,1.3799999999999955,0.028025995125913798
88,1031658,2019-05-09,3.0,INTC,INTEL CORP,46.05,48.29,46.62,59580986.0,-0.053209000000000006,4477000.0,47.9,-0.0030280000000000003,47.17,0,0.011659953360186649,2.240000000000002,0.04748781004875985,1.1000000000000085,0.02359502359502378
89,1031659,2019-05-10,3.0,INTC,INTEL CORP,45.1,46.8,46.2,42383291.0,-0.009009,4477000.0,46.44,0.003795,45.95,1,0.005440696409140369,1.6999999999999957,0.03699673558215442,0.5,0.010822510822510822
90,1031660,2019-05-13,3.0,INTC,INTEL CORP,44.7,45.64,44.76,39172510.0,-0.031169,4477000.0,45.33,-0.024509,45.17,0,0.009076820898826736,0.9399999999999977,0.020810272304626915,0.8200000000000074,0.018319928507596235
91,1031661,2019-05-14,3.0,INTC,INTEL CORP,44.87,45.485,45.17,24675273.0,0.00916,4477000.0,45.18,0.008823000000000001,45.177499999999995,0,0.0001660118421779244,0.615000000000002,0.013612971058602225,0.014999999999986358,0.00033207881337140487
92,1031662,2019-05-15,3.0,INTC,INTEL CORP,44.76,45.75,45.62,23386493.0,0.009962,4477000.0,44.92,0.005591,45.254999999999995,1,0.008065407137332937,0.990000000000002,0.021876035797149532,0.730000000000004,0.01600175361683481
93,1031663,2019-05-16,3.0,INTC,INTEL CORP,45.42,45.95,45.53,19920332.0,-0.001973,4477000.0,45.47,0.008251,45.685,0,0.0033927985115464842,0.5300000000000011,0.011601182007223402,0.3100000000000023,0.006808697562047052
94,1031664,2019-05-17,3.0,INTC,INTEL CORP,44.7637,45.73,44.89,22465160.0,-0.014057,4477000.0,45.18,-0.0068579999999999995,45.246849999999995,0,0.007886736866765186,0.9662999999999968,0.021356182806095827,0.7136999999999887,0.015898863889507432
95,1031665,2019-05-20,3.0,INTC,INTEL CORP,43.4538,44.52,43.56,28620965.0,-0.029627999999999998,4477000.0,44.0,-0.006567,43.986900000000006,0,0.009705162218751567,1.066200000000002,0.024239034803543825,0.8538000000000068,0.01960055096418748
96,1031666,2019-05-21,3.0,INTC,INTEL CORP,44.175,44.78,44.46,25487171.0,0.020661000000000002,4477000.0,44.34,0.00891,44.4775,0,0.0003934573660839367,0.605000000000004,0.013602383227474656,0.03499999999999659,0.000787224471434921
97,1031667,2019-05-22,3.0,INTC,INTEL CORP,43.845,44.46,44.0,16890211.0,-0.010346,4477000.0,44.15,-0.003814,44.1525,0,0.0034539380556028176,0.615000000000002,0.013928996093086506,0.3050000000000068,0.006931818181818337
98,1031668,2019-05-23,3.0,INTC,INTEL CORP,42.86,44.74,44.53,35744594.0,0.012045,4477000.0,43.37,-0.012783,43.8,1,0.01666666666666676,1.8800000000000026,0.04292237442922381,1.460000000000008,0.032786885245901815
99,1031669,2019-05-24,3.0,INTC,INTEL CORP,44.49,45.05,44.57,27092466.0,0.000898,4477000.0,44.59,0.002657,44.769999999999996,0,0.004467277194549827,0.5599999999999952,0.012508376144739675,0.3999999999999915,0.008974646623289017
100,1031670,2019-05-28,3.0,INTC,INTEL CORP,43.3,44.69,43.57,34804363.0,-0.022437000000000002,4477000.0,44.66,-0.007520000000000001,43.995,0,0.009660188657801959,1.3900000000000006,0.03159449937492898,0.8499999999999943,0.019508836355290205
101,1031671,2019-05-29,3.0,INTC,INTEL CORP,43.3333,44.53,44.23,28426677.0,0.015147999999999998,4477000.0,43.35,-0.0069180000000000005,43.931650000000005,1,0.006791231378743846,1.1966999999999999,0.027240042201920476,0.5966999999999842,0.013490843319013889
102,1031672,2019-05-30,3.0,INTC,INTEL CORP,44.23,45.03,44.73,21599259.0,0.011304999999999999,4477000.0,44.3,0.001256,44.629999999999995,1,0.0022406453058481162,0.8000000000000043,0.01792516244678477,0.20000000000000284,0.0044712720769059435
103,1031673,2019-05-31,3.0,INTC,INTEL CORP,43.93,44.79,44.04,25504629.0,-0.015425999999999999,4477000.0,44.18,-0.011878,44.36,0,0.007213706041478816,0.8599999999999994,0.01938683498647429,0.6400000000000006,0.014532243415077216
104,1031674,2019-06-03,3.0,INTC,INTEL CORP,43.2,44.585,43.46,31126385.0,-0.01317,4477000.0,44.25,-0.0022170000000000002,43.8925,0,0.009853619638890414,1.384999999999998,0.031554365780030715,0.8649999999999949,0.019903359410952483
105,1031675,2019-06-04,3.0,INTC,INTEL CORP,43.77,44.855,44.79,28078496.0,0.030602999999999998,4477000.0,44.16,0.020846,44.3125,1,0.010775740479548641,1.0849999999999937,0.024485190409026657,0.9549999999999983,0.0213217235990176
106,1031676,2019-06-05,3.0,INTC,INTEL CORP,44.19,45.18,44.55,20742463.0,-0.005358,4477000.0,45.11,0.006402,44.685,0,0.003021148036253891,0.990000000000002,0.022155085599194404,0.27000000000001023,0.0060606060606062905
107,1031677,2019-06-06,3.0,INTC,INTEL CORP,44.505,45.17,45.1,18998790.0,0.012346,4477000.0,44.75,0.004934,44.837500000000006,1,0.005854474491218192,0.6649999999999991,0.014831335377752976,0.5249999999999915,0.01164079822616389
108,1031678,2019-06-07,3.0,INTC,INTEL CORP,45.1,46.12,46.03,24249985.0,0.020621,4477000.0,45.25,0.009588,45.61,1,0.009208506906380217,1.019999999999996,0.022363516772637492,0.8400000000000034,0.01824896806430596
109,1031679,2019-06-10,3.0,INTC,INTEL CORP,46.2,47.19,46.8,20776073.0,0.016728,4477000.0,46.23,0.004783,46.695,1,0.002248634757468613,0.9899999999999949,0.021201413427561728,0.20999999999999375,0.004487179487179354
