,effective_cost,quoted,prop_quoted,effective,prop_effective
98,0.01666666666666676,1.8800000000000026,0.04292237442922381,1.460000000000008,0.032786885245901815
99,0.004467277194549827,0.5599999999999952,0.012508376144739675,0.3999999999999915,0.008974646623289017
100,0.009660188657801959,1.3900000000000006,0.03159449937492898,0.8499999999999943,0.019508836355290205
101,0.006791231378743846,1.1966999999999999,0.027240042201920476,0.5966999999999842,0.013490843319013889
102,0.0022406453058481162,0.8000000000000043,0.01792516244678477,0.20000000000000284,0.0044712720769059435
103,0.007213706041478816,0.8599999999999994,0.01938683498647429,0.6400000000000006,0.014532243415077216
104,0.009853619638890414,1.384999999999998,0.031554365780030715,0.8649999999999949,0.019903359410952483
105,0.010775740479548641,1.0849999999999937,0.024485190409026657,0.9549999999999983,0.0213217235990176
106,0.003021148036253891,0.990000000000002,0.022155085599194404,0.27000000000001023,0.0060606060606062905
107,0.005854474491218192,0.6649999999999991,0.014831335377752976,0.5249999999999915,0.01164079822616389
108,0.009208506906380217,1.019999999999996,0.022363516772637492,0.8400000000000034,0.01824896806430596
109,0.002248634757468613,0.9899999999999949,0.021201413427561728,0.20999999999999375,0.004487179487179354
110,0.0014919011082694007,0.7999999999999972,0.017050298380221592,0.14000000000000057,0.0029882604055496385
111,0.003013344812742156,0.4200000000000017,0.009040034438226468,0.28000000000000114,0.006044905008635603
112,0.0009092367759532946,0.42499999999999716,0.009092367759533555,0.08499999999999375,0.0018201284796572537
113,0.004502755912789312,0.8740999999999985,0.01900921972165767,0.4140999999999906,0.008965143970556195
114,0.0007581501137224432,0.730000000000004,0.015812845229069727,0.06999999999999318,0.0015174506828526592
115,0.0014799154334038116,1.3999999999999986,0.02959830866807608,0.14000000000000057,0.00295545704032089
116,0.004652146331148211,0.5799999999999983,0.012264749418481673,0.4399999999999977,0.009347779902273161
